Uuid,Attribute|54686249-2c26-4dd9-be90-fc7868dedd8f,Name,Attribute|d4e54a2f-39bf-4b0a-8000-f2048eddbe12,Description,Attribute|f369dbaa-3a0a-416e-97d1-cac1a230824f,County/District,State/Province,Address 4,Void/Retire,_order:1000,Unnamed: 11
b593f28f-e230-49d8-8101-8414782b81c9,1097232,Andualem Medium Clinic,Operational,Medium Clinic,Clinic,South Ethiopia Region,South omo zone,Selamago woreda,,,
799138b5-b554-42e1-a219-7affd3ebbb27,1099778,Andualem Medium Clinic,Operational,Medium Clinic,Clinic,Amhara Region,West Gojam Zone,Dembecha,,,
535ee1cd-5150-4735-b443-771eb76ea8e4,1099420,Andualem No 2 Medium Clinic,Operational,Medium Clinic,Clinic,South Ethiopia Region,South omo zone,Dasenech woreda,,,
8435468f-2229-477a-94c0-006169edd177,1061812,Andualem Primary Clinic,Operational,Primary Clinic,Clinic,Central Ethiopia Region,Hadiya Zone,shone town adminstration,,,
c1b917d2-5208-4c2e-bbe9-776e37261234,1075081,Andualem Primary Clinic,Operational,Primary Clinic,Clinic,Amhara Region,West Gondar Zone,Metema,,,
7f64a3bf-4fee-402d-8402-5f9d59cbeb76,1075787,Andualem Primary Clinic,Operational,Primary Clinic,Clinic,Amhara Region,West Gondar Zone,Quara,,,
95beaba9-98d4-41e0-885d-d0161b4ffce6,1093772,Andualem Primary Clinic,Operational,Primary Clinic,Clinic,Amhara Region,North Wollo Zone,Raya Kobo,,,
8825ee2b-e5da-4a82-a56f-064896b9a4f6,1098062,Andualem Primary Clinic,Operational,Primary Clinic,Clinic,South West Ethiopia Region,Bench Sheko Zone,Sheko Woreda,,,
b7fa0253-cbe6-4337-b742-0f9cf8f3cf4f,1070785,Andualem Primary Clinic ,Operational,Primary Clinic,Clinic,Amhara Region,South Wollo Zone,Woreilu,,,
f470dfa8-90d8-413b-9105-31ebd96d0900,1098218,Anduamlak Medium Clinic,Operational,Medium Clinic,Clinic,Amhara Region,North Gojjam Zone,Bahir dar Zuriya Woreda,,,
2524eeb3-2597-41ca-920f-bd45c77c85cc,1062440,Andu Primary Clinic,Operational,Primary Clinic,Clinic,Central Ethiopia Region,Mareko Special,Mareko Special,,,
7458d0f2-6caa-4792-984f-f5c7ff170c8d,1047692,Anedenet Primery Clinic,Operational,Primary Clinic,Clinic,South Ethiopia Region,Ari zone,South ari woreda,,,
e3f32445-274a-4ed8-a80d-d59bd483dd80,1072414,Anedente Primary Clinic,Operational,Primary Clinic,Clinic,Amhara Region,South Gondar Zone,Lay Gayint,,,
